"FP","Effect","CI_lower","CI_upper","Significant"
-3,-0.929719306687897,-1.12782026614503,-0.723450243527255,TRUE
-2.9,-0.919878041410306,-1.11220988580332,-0.720311418990512,TRUE
-2.8,-0.9102186472394,-1.09664491546821,-0.716557914981665,TRUE
-2.7,-0.900371491340089,-1.08032880247967,-0.713366425140911,TRUE
-2.6,-0.890498866164911,-1.06484891509962,-0.709620319880519,TRUE
-2.5,-0.880861074752635,-1.04977297238692,-0.706131198615407,TRUE
-2.4,-0.871118108461022,-1.03482971957211,-0.702615150198634,TRUE
-2.3,-0.861529316824242,-1.01977085062233,-0.699187479237669,TRUE
-2.2,-0.851914229790979,-1.00438173670579,-0.69588750276152,TRUE
-2.1,-0.842580625662157,-0.988800539125186,-0.692329747069238,TRUE
-2,-0.832973722734245,-0.97390290325532,-0.689074387447537,TRUE
-1.9,-0.823441935732545,-0.959007133367456,-0.685063726480696,TRUE
-1.8,-0.81350386224411,-0.943963376327472,-0.681007647745935,TRUE
-1.7,-0.803791833313275,-0.928943727613254,-0.676852248908322,TRUE
-1.6,-0.794275783500524,-0.913489813441147,-0.672819454953352,TRUE
-1.5,-0.784688502843278,-0.898684160996897,-0.668869372849956,TRUE
-1.4,-0.774937780233474,-0.883445531850787,-0.664589941568463,TRUE
-1.3,-0.765357323888674,-0.868521081379108,-0.66039585036884,TRUE
-1.2,-0.755502998189252,-0.853798349691929,-0.656162881511675,TRUE
-1.1,-0.745633418509414,-0.839138168382946,-0.651537640211268,TRUE
-1,-0.735776067078323,-0.824740233279352,-0.646315242522242,TRUE
-0.9,-0.726179506514912,-0.810955642331118,-0.640606538523776,TRUE
-0.8,-0.716554099958714,-0.797466847939052,-0.635457455049238,TRUE
-0.7,-0.707135797030339,-0.784114334586128,-0.629778703658492,TRUE
-0.6,-0.697814932824474,-0.770125686727341,-0.623034062196487,TRUE
-0.5,-0.68830879865372,-0.757508757843864,-0.615973558448099,TRUE
-0.4,-0.678575375706194,-0.744499390859585,-0.609305373707149,TRUE
-0.3,-0.668762071812623,-0.732368853148821,-0.602263387459432,TRUE
-0.2,-0.65918317740777,-0.721458349842111,-0.594462076264745,TRUE
-0.0999999999999996,-0.64966605760938,-0.71081953443272,-0.586714185738358,TRUE
0,-0.640013589398856,-0.700488855700648,-0.57732815573578,TRUE
0.1,-0.630442644685443,-0.690241610299848,-0.567450290439722,TRUE
0.2,-0.620372966786413,-0.681819928302113,-0.557251299866051,TRUE
0.3,-0.610827112785082,-0.673574334255938,-0.545945463440091,TRUE
0.4,-0.60147415276714,-0.666200684365517,-0.534000914819264,TRUE
0.5,-0.591688052167009,-0.659136508015413,-0.521732565499125,TRUE
0.6,-0.582161171575067,-0.652717197135329,-0.50834289913107,TRUE
0.7,-0.572411764996939,-0.646538801729713,-0.495138570679738,TRUE
0.8,-0.562868195510561,-0.641502218906814,-0.481586666350865,TRUE
0.9,-0.553280900982949,-0.636046757958919,-0.46791353980022,TRUE
1,-0.543798381394165,-0.630352279766916,-0.45410415647333,TRUE
1.1,-0.533968215579863,-0.626438027519266,-0.439610612740803,TRUE
1.2,-0.524098704034309,-0.621545994027505,-0.425130108240307,TRUE
1.3,-0.514373422551248,-0.616955456866355,-0.410489911951888,TRUE
1.4,-0.504888066349123,-0.612497047006601,-0.395113322329465,TRUE
1.5,-0.495370040341877,-0.607850109172652,-0.380177842286961,TRUE
1.6,-0.48583820774786,-0.603953924587683,-0.364656815229528,TRUE
1.7,-0.476326177105721,-0.600162289432218,-0.349669237379104,TRUE
1.8,-0.46675972878773,-0.596262312688613,-0.334163406146102,TRUE
1.9,-0.457049604742259,-0.592468669936517,-0.319378198019998,TRUE
2,-0.447401692558221,-0.588172021270169,-0.304043151939598,TRUE
2.1,-0.437726348486857,-0.58415880620067,-0.28933772347418,TRUE
2.2,-0.428007837413345,-0.580048282946256,-0.273808830499631,TRUE
2.3,-0.41829887995293,-0.576620035550955,-0.25856224739952,TRUE
2.4,-0.408651434398208,-0.573270771765362,-0.243020837087809,TRUE
2.5,-0.399270113978507,-0.569039743586524,-0.227285768350778,TRUE
2.6,-0.389623415272791,-0.564585702473494,-0.211434472917596,TRUE
2.7,-0.379723847706706,-0.560638815054004,-0.196158910662465,TRUE
2.8,-0.369941269001956,-0.556900339059254,-0.180675994977677,TRUE
2.9,-0.360335461920895,-0.553518285013297,-0.164888350458186,TRUE
3,-0.350569336408416,-0.550128270699059,-0.149781501851319,TRUE
